term	section	course	instructor	whenWhere
Summer 2021	6115	BUSMG-168	Olmos	NOT AVAILABLE
Summer 2021	6701	BUSMG-168	Winkler	NOT AVAILABLE
Summer 2021	5758	BUSMK-158	Olmos	NOT AVAILABLE
Summer 2021	5123	CARER-110	Munday	NOT AVAILABLE
Summer 2021	5140	CARER-110	Hollis	NOT AVAILABLE
Summer 2021	9083	CARER-110	Warren	NOT AVAILABLE
Summer 2021	5093	CARER-120	Jamshidnejad	NOT AVAILABLE
Summer 2021	5142	CARER-130	Lau	NOT AVAILABLE
Summer 2021	5150	CARER-130	Lau	NOT AVAILABLE
Summer 2021	141	CHEM-108	Yu	NOT AVAILABLE
Summer 2021	2125	CHEM-108	Kulp	NOT AVAILABLE
Summer 2021	4323	CHEM-108	Young	NOT AVAILABLE
Summer 2021	4324	CHEM-108	Young	NOT AVAILABLE
Summer 2021	4361	CHEM-108	Irias	NOT AVAILABLE
Summer 2021	9063	CHEM-108	Staff	NOT AVAILABLE
Summer 2021	1900	CHEM-121	Escobar	NOT AVAILABLE
Summer 2021	1920	CHEM-121	Covalt	NOT AVAILABLE
Summer 2021	9311	CHEM-150A	Lawrence	NOT AVAILABLE
Summer 2021	5154	CHIN-120	An	NOT AVAILABLE
Summer 2021	5926	CHIN-299	An	NOT AVAILABLE
Summer 2021	9229	CIS-100	Cabiles	NOT AVAILABLE
Summer 2021	9044	CIS-101	Tejada	NOT AVAILABLE
Summer 2021	9236	CIS-115	Cabiles	NOT AVAILABLE
Summer 2021	9237	CIS-116	Peavler	NOT AVAILABLE
Summer 2021	9239	CIS-117	Cabiles	NOT AVAILABLE
Summer 2021	9241	CIS-118	Wong	NOT AVAILABLE
Summer 2021	1294	CNT-101	Martucci	NOT AVAILABLE
Summer 2021	4272	CNT-101	Wynn	NOT AVAILABLE
Summer 2021	5182	CNT-101	Wynn	NOT AVAILABLE
Summer 2021	9275	CNT-101	Huynh	NOT AVAILABLE
Summer 2021	1295	CNT-102	Martucci	NOT AVAILABLE
Summer 2021	4273	CNT-102	Wynn	NOT AVAILABLE
Summer 2021	5187	CNT-102	Wynn	NOT AVAILABLE
Summer 2021	9256	CNT-102	Huynh	NOT AVAILABLE
Summer 2021	5068	CNT-146	Houshiar	NOT AVAILABLE
Summer 2021	1631	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	1719	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	2390	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	2400	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	2402	COMM-120	Villa	NOT AVAILABLE
Summer 2021	4156	COMM-120	Villa	NOT AVAILABLE
