term	section	course	instructor	whenWhere
Summer 2021	9277	MATH-142	Akanyirige	NOT AVAILABLE
Summer 2021	9283	MATH-142	Cruz	NOT AVAILABLE
Summer 2021	9284	MATH-142	Sporer	NOT AVAILABLE
Summer 2021	1040	MATH-182	Huynh	NOT AVAILABLE
Summer 2021	5130	MATH-182	Knight	NOT AVAILABLE
Summer 2021	1041	MATH-191	Stitt	NOT AVAILABLE
Summer 2021	5027	MATH-191	Osborne	NOT AVAILABLE
Summer 2021	5028	MATH-191	Faulkner	NOT AVAILABLE
Summer 2021	9291	MATH-191	Triebwasser	NOT AVAILABLE
Summer 2021	1043	MATH-192	Gomez	NOT AVAILABLE
Summer 2021	1044	MATH-192	Osborne	NOT AVAILABLE
Summer 2021	1048	MATH-192	Matlock	NOT AVAILABLE
Summer 2021	1052	MATH-192	Leon-Bravo	NOT AVAILABLE
Summer 2021	8125	MATH-192	Knight	NOT AVAILABLE
Summer 2021	9292	MATH-192	Scott	NOT AVAILABLE
Summer 2021	1046	MATH-193	Carter	NOT AVAILABLE
Summer 2021	1047	MATH-193	Lam	NOT AVAILABLE
Summer 2021	1055	MATH-193	Knight	NOT AVAILABLE
Summer 2021	1093	MATH-193	Knight	NOT AVAILABLE
